Human gene	Yeast genes
RNASEH1	RNH1
TTLL1	PBY1
SUPT16H	SPT16
TCEA2	DST1
CYP4V2	ERG5
VCL	YKU80	CLB2
LSM1	LSM1
PRMT8	HMT1
USP12	UBP9
SHOX2	YHP1
RTF1	RTF1
USP14	UBP6
DYNC1H1	DYN1
XPO5	MSN5
MLX	RTG3
TTBK1	YCK3
HELLS	IRC5
CHD1L	ISW1
ARID3A	ECM5
CCNB2	CLB3
DAZAP2	RAD4
DIS3	SSD1	DIS3
PEMT	OPI3
TIPIN	CSM3
MON1A	MON1
PSAT1	SER1
RAD54L	RAD54	RDH54
PIF1	PIF1	RRM3
LDB1	WHI2	PUT3	SPO7
TRMU	SLM3
CFDP1	SWC5
ATPAF1	ATP11
NAP1L1	NAP1
ARD1A	ARD1
UBE2G2	UBC7
WDR73	MSI1
PPP2R5C	RTS1
SFRS5	HRB1
SSB	LHP1
