Yeast gene	Human genes
TMA20	N/A
PMS1	PMS2
UBR1	AGTRAP
TDP1	TDP1
CTI6	PHF20
DPB4	POLE3
DPB3	POLE4
CTR3	SLC31A1
ELP3	ELP3
VPS70	FOLH1
VPS72	VPS72
YKL027W	UBA3
ESA1	N/A
RNH1	RNASEH1
BRE1	RNF40
CHD1	CHD1
SFH1	N/A
CTR9	CTR9
DST1	TCEA2
UBC12	UBE2M
UBC13	UBE2N
UBC11	N/A
SER2	PSPH
SER1	PSAT1
UNG1	UNG
UBI4	N/A
SWC7	AMD1
PPH22	PPP2CA
SWC5	CFDP1
ELP2	ELP2
HCS1	AQR
BUD32	GP1BA
RDH54	RAD54L
SIS2	PPCDC
REI1	ZNF622
MSN5	XPO5
YKL088W	PPCDC
YCK3	TTBK1
KIP3	KIF3A
CLB3	CCNB2
CLB2	VCL
CLB6	CCND2
HIR1	HIRA
CLB4	CCNA2
RPB4	POLR2D
SUS1	ENY2
RUB1	NEDD8
SHP1	NSFL1C
CSM3	TIPIN
RBL2	TBCA
SOH1	MED31
TEC1	TEAD2
RRD2	PPP2R4
CCS1	CCS
SKY1	SRPK3
DUN1	CHEK2
PXA1	ABCD3
TIM13	TIMM13
TIM18	MAPRE3
KEX2	PCSK2
RDI1	ARHGDIA
SNF4	PRKAG1
SAC1	INPP5F
CPR8	PPIA
RRM3	PIF1
ELF1	ELOF1
CSN12	PCID2
SNT2	MLLT6
YTA7	N/A
TUB3	TUBAL3
MLH2	PMS2
MLH1	MLH1
IRC5	HELLS
TMA22	N/A
RAD26	N/A
RAD27	FEN1
RAD23	RAD23B
RAD28	ERCC8
THP1	PCID2
RTF1	RTF1
SNF5	N/A
HTA2	HIST1H2AJ
PHR1	CRY1
SNF1	PRKAA2
KAR3	N/A
DIS3	DIS3
PDC1	HACL1
PDC5	HACL1
PDC6	HACL1
PIF1	PIF1
RTT101	CUL2
RTT103	RPRD1B
RTT106	SSRP1
